"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","1223774317.5","2595304000","9.86","1285950","","","https://trendlyne.com/mutual-fund/holding-history/14412/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","1446480000","1459710000","5.55","1050000","","","https://trendlyne.com/mutual-fund/holding-history/14412/1127/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","1373814600","1383041000","5.26","699000","","","https://trendlyne.com/mutual-fund/holding-history/14412/758/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1215833030","1281855000","4.87","865300","","","https://trendlyne.com/mutual-fund/holding-history/14412/584/"
"Infosys Ltd","INFY","500209","Technology","1110690000","1113642000","4.23","738000","180000","32.26","https://trendlyne.com/mutual-fund/holding-history/14412/630/"
"Larsen & Toubro Ltd","LT","500510","Industrials","976447104","984706000","3.74","270784","","","https://trendlyne.com/mutual-fund/holding-history/14412/800/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","973728000","982928000","3.74","920000","","","https://trendlyne.com/mutual-fund/holding-history/14412/140/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","961497600","935305000","3.55","292000","","","https://trendlyne.com/mutual-fund/holding-history/14412/807/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","969995000","819520000","3.11","65000","","","https://trendlyne.com/mutual-fund/holding-history/14412/842/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","824769013.5","795256000","3.02","261873","85000","48.06","https://trendlyne.com/mutual-fund/holding-history/14412/1372/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","845747811","793709000","3.02","314814","","","https://trendlyne.com/mutual-fund/holding-history/14412/560/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","802710000","793080000","3.01","900000","","","https://trendlyne.com/mutual-fund/holding-history/14412/150/"
"State Bank of India","SBIN","500112","Financial Services","664024800","653968000","2.49","821000","","","https://trendlyne.com/mutual-fund/holding-history/14412/1193/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","616167500","622148000","2.36","325000","","","https://trendlyne.com/mutual-fund/holding-history/14412/187/"
"RBL Bank Ltd","RBLBANK","540065","Financial Services","593347331.1","590977000","2.25","2214809","864809","64.06","https://trendlyne.com/mutual-fund/holding-history/14412/4685/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","590700000","566625000","2.15","750000","","","https://trendlyne.com/mutual-fund/holding-history/14412/65394/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","555685000","556183000","2.11","415000","","","https://trendlyne.com/mutual-fund/holding-history/14412/851/"
"JSW Steel Ltd","JSWSTEEL","500228","Basic Materials","555440000","555599000","2.11","530000","","","https://trendlyne.com/mutual-fund/holding-history/14412/699/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","531645000","529099000","2.01","3350000","","","https://trendlyne.com/mutual-fund/holding-history/14412/1366/"
